gene_id,symbol,SK-OV-3,SK-MEL-5,SK-MEL-28,SF539,SF295,SF268,RPMI-8226,PC-3,OVCAR-8,OVCAR-4,T47D,OVCAR-3,UACC-62,UACC-257,U251,U031,NCI-H522,NCI-H322M,EKVX,DU-145,BT-549,ACHN,A498,HOP-62,HOP-92,Hs-578-T,HT-29,NCI-H23,NCI-H226,NCI-H460,MDA-MB-231,MCF7,LOXIMVI,KM12,IGROV-1,MDA-MB-468,HCT-116,HCT-15,K-562,HL-60,SW620,A549,CAKI-1
SIDG23747,P2RX5,-1,0,0,0,-1,1,-1,-1,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,0,1,1,1,-1,-1,1,-1,-1,0,1,0,-1,0,0,0,-1,-1,0,-1,-1,1,1,-1
SIDG23749,P2RX6,2,1,1,-1,0,-1,-2,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,0,-1,-1,-1
SIDG23751,P2RX7,0,1,0,0,0,-1,0,1,1,-1,1,-1,0,-2,0,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,1,0,-1,1,1,0,-1,0,0,0,0,0,0,1
SIDG23752,P2RY1,0,1,1,1,0,-1,2,0,-1,-1,1,1,1,1,0,1,1,1,-1,1,0,0,0,0,1,1,1,1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,1
SIDG23858,PAK1,-1,-1,-1,-1,-1,1,1,1,1,0,1,2,-1,-1,-1,1,1,1,2,0,0,0,-1,-1,-1,1,1,1,1,-1,0,1,1,0,0,1,-1,0,0,0,1,0,0
SIDG23860,PAK2,0,1,1,1,0,-1,1,0,-1,-1,2,1,1,0,1,1,1,1,-1,0,0,-1,-1,0,1,1,0,1,0,-1,0,1,0,0,-1,-1,0,0,0,0,1,-1,1
SIDG23862,PAK4,0,-1,1,1,1,0,-1,-1,-1,1,-1,2,0,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,0,1,-1,-1,-1,0,-1,0,0,0,1,-1,0,0,0,-1,1,-1
SIDG23864,PAK6,2,0,-1,1,-1,0,-1,1,-1,-1,0,0,-1,-1,0,-2,0,1,1,0,-1,0,0,-1,-1,-1,1,0,-1,1,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0
SIDG23912,PARD3,0,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,0,1,0,1,-1,0,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
SIDG23915,PARD6A,2,-1,-1,-1,1,-1,1,0,1,-1,0,1,-1,-1,-1,1,-1,1,0,0,-1,1,1,0,0,-1,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,2,0,1
SIDG23916,PARD6B,0,1,2,1,0,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,0,1,0,1,0,1,1,1,2,0,1,1,1,1,1,1,0,-1,0,0,0,1,0,1
SIDG23917,PARD6G,0,-1,1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,1,-1,-1,-1,0,-1,-2,-1,-1,-1,-1,0,0,-1,1,-2,-1,-1
SIDG24127,PCK1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,2,0,1,1,1,1,1,1,0,-1,0,0,0,1,0,1
SIDG24128,PCK2,0,-1,-1,0,-1,-1,-1,1,1,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,1,-1,-1,1,0,1,0,-1,0,0,0,-1,0,0,-1,0,0,-1,-1
SIDG24143,PCNA,0,1,1,0,0,1,0,1,1,0,0,-1,0,1,0,1,-1,-1,1,-1,0,0,-1,1,-1,1,0,0,-1,1,0,-1,1,0,1,1,0,0,-1,0,1,1,-1
SIDG24222,PDE1A,0,-1,1,1,0,-1,0,0,-1,-1,-1,0,1,1,0,0,1,1,1,-1,-1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,-2,1,0,1,0,0
SIDG24223,PDE1B,0,0,-1,-1,0,0,0,1,1,0,1,0,0,-1,-1,1,-1,1,-1,0,-1,1,-1,-1,0,-1,0,1,1,1,-1,-1,1,0,0,-1,-1,0,0,0,1,0,1
SIDG24224,PDE1C,-1,1,0,1,1,1,1,1,-1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,0,0,1,1,0,0,0,0,1,0,1
